name,datetime,location,All Day
Reset and Refresh with Amy Coombs,2025-04-23 09:30:00,"238 Thompson Street (GCASL), Room 461",False
Simone Weil: On the Abolition of All Political Parties,2025-04-23 10:00:00,80 Washington Square East Gallery,False
Intro Lab Safety Training: Zoom,2025-04-23 10:00:00,Zoom,False
Senior Portrait Day,2025-04-23 10:00:00,Kimmel 802,False
"DPI 2025 BFA Senior Thesis Exhibition, Curated by Kalia Brooks",2025-04-23 10:00:00,"721 Broadway, Gulf Western Galleries in Tisch Lobby",False
Introduction to Privacy Impact Assessments (PIAs) at NYU,2025-04-23 10:00:00,Zoom,False
Multimedia Drop-in Sessions,2025-04-23 10:00:00,Virtual,False
Instructional Tech Drop-in Sessions,2025-04-23 11:00:00,Virtual,False
Spring 2025 Plant Based Food Festival!,2025-04-23 11:00:00,Kimmel Center– Eisner and Lubin Auditorium (4th floor),False
Plant Based Food Festival Spring 2025,2025-04-23 11:00:00,Kimmel Center for University Life,False
BFA Thesis Exhibition II: Timeless Theatrics,2025-04-23 11:00:00,"The Commons and Rosenberg Gallery, 34 Stuyvesant Street",False
Spring 2025 Plant Based Food Festival!,2025-04-23 11:00:00,Kimmel Center-- Eisner and Lubin Auditorium (4th floor),False
Data Drop-Ins: R,2025-04-23 12:00:00,"Bobst Library, 6th Floor, Rm. 617, Bobst Library",False
Destress Before Finals,2025-04-23 12:00:00,StudentLink Center - Room C06,False
Destress Before Finals,2025-04-23 12:00:00,StudentLink Center - Room C06,False
CMEP x A/PIDA Month: Cultural Snacks & Chat,2025-04-23 12:00:00,Kimmel Lobby,False
Buyside Recruiting Workshop,2025-04-23 12:30:00,T-200,False
Papotons en français!,2025-04-23 12:30:00,Washington Square Campus,False
Showcase: LARA x Kate Bartlett,2025-04-23 12:30:00,KMC 1-100 (Gardner Commons),False
Deloitte Info Session,2025-04-23 12:30:00,LC-21,False
Showcase: LARA x Kate Bartlett,2025-04-23 12:30:00,KMC 1-100 (Gardner Commons),False
Project Management for Social Good - Kleinert Scholarship Symposium 2025,2025-04-23 12:30:00,NYU SPS Building,False
Deloitte Info Session,2025-04-23 12:30:00,LC-21,False
Core + Restore with Jennifer Brilliant,2025-04-23 12:30:00,"238 Thompson Street (GCASL), Room 461",False
Core + Restore with Jennifer Brilliant,2025-04-23 12:30:00,"238 Thompson Street (GCASL), Room 461",False
Buyside Recruiting Workshop,2025-04-23 12:30:00,T-200,False
Volunteer Hour with NYU Service,2025-04-23 13:00:00,NYU Center for Student Life,False
Lunchtime Research Conversation Series: Timing Surgery After Heart Procedures: Risks & Outcomes,2025-04-23 14:00:00,Kimmel 703,False
NYU Women in STEM Study Lounge,2025-04-23 14:00:00,Global Center for Academic and Spiritual Life,False
SPS SREC: Panel Discussion with Robert Verrone,2025-04-23 14:00:00,Kimmel Center,False
Brown Sugar Art Picnic,2025-04-23 15:00:00,Washington Square Park,False
Design Thinking 101 Workshop,2025-04-23 16:00:00,Leslie eLab,False
Ethics Workshop Series,2025-04-23 16:00:00,Washington Square Campus,False
RADical Health,2025-04-23 16:00:00,STC 107,False
PRINT3D 3D Modeling 101,2025-04-23 16:00:00,Kimmel Center for University Life,False
Tandon GSC Spirit Week :Paint n Sip and Free merch giveaway,2025-04-23 16:00:00,Makerspace FYOR,False
mediaWorks_2025 Digital Showcase,2025-04-23 16:30:00,"239 Greene Street, 7th & 8th Floors",False
Discover Ekimetrics: Wasserman x NSBE x SHPE,2025-04-23 17:00:00,"Wunsch Building Rm. 211, 311 Bridge St.",False
Product Team Meeting,2025-04-23 17:00:00,Kimmel Center,False
BMI Check-in,2025-04-23 17:00:00,KIMMEL CENTER FOR UNIVERSITY LIFE - KIMMEL CTR 406,False
